album_id,title,releasedate,artist_id,genre
3456,Elephant,2003-04-01,7842,Rock
3457,"Racine Carree",2013-08-16,7843,Pop
3458,"Construction Time Again",1983-08-22,7844,Pop
3459,"Strangers (Single)",2023-09-01,7845,Dance
3460,"Me Deje Llevar",2017-08-25,7846,"Mariachi Boleo"
3461,"Show (Single)",2023-12-13,7847,Dance
3462,"Jay Chous Bedtime Stories",2016-06-24,7848,Pop
3463,"Water (Single)",2023-07-28,7852,Pop
3464,"Daylight (Single)",2023-04-14,7850,"Gothic Pop"
3465,"Shree Hanuman Chalisa (Hanuman Ashtak)",1992-01-01,7851,"Devotional Hymn"
